No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
216,1901,1890,0,58,308,0,Chamarajanagar (CMC),1505,Chamarajanagar,2404,1855,137,Karnataka
101,521,506,0,3,590,0,Gundlupet (TMC),225,Chamarajanagar,1154,484,40,Karnataka
66,614,607,0,0,0,0,Hanur (TP),300,Chamarajanagar,618,539,4,Karnataka
36,1783,1746,0,1,0,0,Kollegal (CMC),1108,Chamarajanagar,1824,1639,40,Karnataka
69,756,750,0,23,0,0,Yelandur (TP),267,Chamarajanagar,779,744,0,Karnataka
76,888,888,0,0,37,0,Bagepalli (TMC),698,Chikkaballapura,941,797,16,Karnataka
150,1456,1153,0,9,305,0,Chikkaballapura (CMC),973,Chikkaballapura,1928,792,158,Karnataka
336,1692,1692,1,0,1,0,Chintamani (CMC),927,Chikkaballapura,1764,1088,70,Karnataka
57,1149,1127,0,76,36,0,Gauribidanur (TMC),1109,Chikkaballapura,1262,788,1,Karnataka
14,416,415,0,7,146,0,Gudibanda (TP),332,Chikkaballapura,647,343,78,Karnataka
93,1099,946,0,397,1,0,Sidlaghatta (TMC),978,Chikkaballapura,1502,801,5,Karnataka
17,417,417,0,0,64,0,Birur (TMC),262,Chikmagalur,506,404,25,Karnataka
0,289,288,0,2,335,0,Chikmagalur (CMC),286,Chikmagalur,643,242,17,Karnataka
45,575,575,0,0,76,0,Kadur (TMC),366,Chikmagalur,660,558,9,Karnataka
0,14,14,0,0,0,0,Koppa (TP),14,Chikmagalur,18,10,4,Karnataka
0,0,0,0,0,0,0,Kudremukh (NAC),0,Chikmagalur,0,0,0,Karnataka
0,11,11,0,0,0,0,Mudigere (TP),11,Chikmagalur,11,10,0,Karnataka
6,192,192,2,10,1,0,Narasimharajapura (TP),167,Chikmagalur,224,107,19,Karnataka
0,8,8,0,0,0,0,Sringeri (TP),4,Chikmagalur,14,8,6,Karnataka
48,377,370,0,32,48,0,Tarikere (TMC),278,Chikmagalur,584,337,127,Karnataka
312,3655,3585,0,37,1,0,Challakere (TMC),2089,Chitradurga,4269,1847,576,Karnataka
1476,4605,4503,4,32,14,0,Chitradurga (CMC),1482,Chitradurga,4867,2639,212,Karnataka
361,1593,1593,0,0,2,0,Hiriyur (TMC),472,Chitradurga,1653,1446,58,Karnataka
0,416,416,0,0,8,0,Holalkere (TP),424,Chitradurga,548,372,124,Karnataka
0,1067,1067,0,0,0,0,Hosdurga (TMC),1060,Chitradurga,1094,979,27,Karnataka
34,850,849,0,114,0,0,Molakalmuru (TP),591,Chitradurga,1333,784,369,Karnataka
150,1180,1180,0,0,0,0,Nayakanahatti (TP),0,Chitradurga,1184,1180,4,Karnataka
0,11,11,0,1,0,0,Bantval (TMC),11,Dakshin Kannada,12,10,0,Karnataka
0,22,22,0,11,3,0,Beltangadi (TP),12,Dakshin Kannada,36,21,0,Karnataka
0,0,0,0,0,0,0,Kotekar TP,0,Dakshin Kannada,0,0,0,Karnataka
10,449,435,0,0,58,0,Mangalore (M Corp.),436,Dakshin Kannada,526,280,19,Karnataka
6,94,94,0,15,10,0,Mudbidri (TMC),88,Dakshin Kannada,120,93,1,Karnataka
0,54,54,0,0,2,0,Mulki (TP),54,Dakshin Kannada,56,48,0,Karnataka
1,73,70,0,7,30,0,Puttur (TMC),70,Dakshin Kannada,111,68,1,Karnataka
0,200,200,0,0,127,0,Sulya (TP),199,Dakshin Kannada,328,112,1,Karnataka
0,59,59,0,0,0,0,Ullal (TMC),59,Dakshin Kannada,76,55,17,Karnataka
0,0,0,0,0,0,0,Vitla TP,0,Dakshin Kannada,0,0,0,Karnataka
3,313,313,0,0,41,0,Channagiri (TP),243,Davanagere,360,291,6,Karnataka
122,4942,4335,1,502,1,0,Davanagere (M Corp.),2190,Davanagere,8926,1398,3480,Karnataka
274,2593,2593,0,0,0,0,Harapanahalli (TMC),2216,Davanagere,2600,657,7,Karnataka
58,480,477,0,15,0,0,Harihar (CMC),342,Davanagere,1923,460,1428,Karnataka
5,530,530,0,16,0,0,Honnali (TP),519,Davanagere,553,505,7,Karnataka
51,459,459,0,0,1,0,Jagalur (TP),333,Davanagere,463,373,3,Karnataka
22,296,296,0,0,3,0,Malebennuru (TMC),175,Davanagere,336,287,37,Karnataka
551,7616,7608,1,452,1,0,Gadag-Betigeri (CMC),1882,Gadag-Betigeri,8250,6347,180,Karnataka
1640,2597,2596,0,482,0,0,Gajendragarh (TMC),911,Gadag-Betigeri,3101,241,22,Karnataka
1104,3355,3327,1,151,0,0,Lakshmeshwar (TMC),626,Gadag-Betigeri,3509,2607,2,Karnataka
136,1558,1229,0,20,1,0,Mulgund (TP),564,Gadag-Betigeri,1595,1142,16,Karnataka
248,1576,1576,0,82,2,0,Mundargi (TMC),478,Gadag-Betigeri,1664,1253,4,Karnataka
194,2155,1564,0,130,0,0,Naregal (TP),546,Gadag-Betigeri,2309,626,24,Karnataka
1548,2606,2600,0,257,0,0,Nargund (TMC),629,Gadag-Betigeri,3028,1079,165,Karnataka
96,1321,1116,1,236,0,0,Ron (TMC),508,Gadag-Betigeri,1583,998,25,Karnataka
437,2482,2482,2,18,5,0,Shirhatti (TP),387,Gadag-Betigeri,2550,2340,43,Karnataka
81,827,825,0,175,0,0,Afzalpur (TP),378,Gulbarga,1006,731,4,Karnataka
183,1463,1293,0,573,0,0,Aland (TMC),174,Gulbarga,2044,1119,8,Karnataka
75,921,908,1,14,0,0,Chincholi (TP),190,Gulbarga,938,791,2,Karnataka
100,1822,1822,0,0,0,0,Chitapur (TMC),497,Gulbarga,1824,1339,2,Karnataka
3,3279,3277,9,3582,3,0,Gulbarga (M Corp.),1730,Gulbarga,9462,2982,2589,Karnataka
65,1333,1328,0,3,0,0,Jevargi (TP),367,Gulbarga,1339,626,3,Karnataka
76,1443,1178,0,135,0,0,Sedam (TMC),443,Gulbarga,1588,902,10,Karnataka
175,1391,1033,4,532,1,0,Shahabad (CMC),416,Gulbarga,2066,852,138,Karnataka
0,0,0,0,0,0,0,Shahabad ACC (NAC),0,Gulbarga,0,0,0,Karnataka
78,1411,1252,0,133,0,0,Wadi (TMC),346,Gulbarga,1550,1049,6,Karnataka
0,58,57,1,0,0,0,Alur (TP),57,Hassan,60,56,1,Karnataka
0,572,572,0,3,0,0,Arkalgud (TP),360,Hassan,643,553,68,Karnataka
36,368,357,0,2,0,0,Arsikere (TMC),187,Hassan,371,342,1,Karnataka
4,392,391,0,0,0,0,Belur (TMC),378,Hassan,395,365,3,Karnataka
12,278,272,0,9,0,0,Channarayapatna (TMC),228,Hassan,294,263,7,Karnataka
0,111,111,0,0,0,0,Hassan (CMC),111,Hassan,111,15,0,Karnataka
0,433,433,0,3,1,0,Hole Narsipur (TMC),433,Hassan,485,398,48,Karnataka
13,82,82,0,23,0,0,Sakleshpur (TMC),21,Hassan,105,66,0,Karnataka
164,1347,1347,4,237,2,0,Bankapura (TMC),1201,Haveri,1655,1184,65,Karnataka
14,1448,1448,0,0,10,0,Byadgi (TMC),1434,Haveri,1458,829,0,Karnataka
137,1664,1595,0,2,0,0,Guttala (TP),1506,Haveri,1666,1595,0,Karnataka
5,1025,995,0,74,2,0,Hangal (TMC),995,Haveri,1135,887,34,Karnataka
124,2289,2239,0,63,3,0,Haveri (CMC),1783,Haveri,2435,2192,80,Karnataka
0,589,589,0,0,13,0,Hirekerur (TP),594,Haveri,802,566,200,Karnataka
4,1699,1677,0,15,3,0,Ranibennur (CMC),1634,Haveri,1911,1580,194,Karnataka
131,1806,1790,2,464,0,0,Savanur (TMC),1437,Haveri,2282,1204,10,Karnataka
198,1492,1448,0,288,19,0,Shiggaon (TMC),1155,Haveri,1805,1358,6,Karnataka
27,1179,1176,0,0,23,0,Alnavar (TP),1107,Hubli-Dharwad,1205,1142,3,Karnataka
6,2731,2731,0,0,279,0,Annigeri (TMC),767,Hubli-Dharwad,3010,2361,0,Karnataka
2409,20863,20838,1,62,71,0,Hubli-Dharwad (M Corp.),14213,Hubli-Dharwad,21078,19846,81,Karnataka
7,1051,999,0,85,436,0,Kalghatgi (TP),804,Hubli-Dharwad,1608,640,36,Karnataka
45,1427,1422,0,30,0,0,Kundgol (TP),212,Hubli-Dharwad,1469,968,12,Karnataka
20,1740,1740,1,7,440,0,Navalgund (TMC),904,Hubli-Dharwad,2206,1471,18,Karnataka
1,55,55,0,2,0,0,Kushalnagar (TP),56,Kodagu,94,25,37,Karnataka
6,197,197,0,6,0,0,Madikeri (CMC),152,Kodagu,205,176,2,Karnataka
12,162,162,0,0,0,0,Somvarpet (TP),125,Kodagu,163,147,1,Karnataka
0,156,156,0,0,0,0,Virajpet (TP),161,Kodagu,162,132,6,Karnataka
4,862,862,0,2,0,0,Bangarapet (TMC),672,Kolar,864,604,0,Karnataka
0,333,333,0,0,0,0,Kolar (CMC),329,Kolar,333,175,0,Karnataka
1,477,477,0,167,73,0,Malur (TMC),473,Kolar,728,402,11,Karnataka
11,961,961,2,7,32,0,Mulbagal (TMC),931,Kolar,1004,884,2,Karnataka
851,7334,7334,0,2811,3,0,Robertson Pet (CMC),5633,Kolar,12333,5916,2185,Karnataka
0,410,410,0,2,5,0,Srinivaspur (TMC),409,Kolar,423,182,6,Karnataka
56,402,402,0,14,0,0,Bhagyanagar (TP),8,Koppal,492,402,76,Karnataka
143,7080,6736,3,199,2,0,Gangawati (CMC),1323,Koppal,7300,3476,16,Karnataka
1,403,371,0,351,0,0,Kaaratagi (TMC),5,Koppal,771,371,17,Karnataka
0,147,131,0,464,0,0,Kanakagiri (TP),1,Koppal,611,131,0,Karnataka
34,3725,3725,0,59,0,0,Koppal (CMC),1050,Koppal,4229,3499,445,Karnataka
5,821,810,0,360,0,0,Kukanooru (TP),2,Koppal,1215,809,34,Karnataka
85,812,360,0,32,0,0,Kushtagi (TMC),313,Koppal,1039,329,195,Karnataka
0,604,129,0,13,0,0,Tavaragera (TP),0,Koppal,617,129,0,Karnataka
85,1035,985,0,2,0,0,Yelbarga (TP),347,Koppal,1055,862,18,Karnataka
2,316,316,3,30,107,0,Krishnarajpet (TMC),280,Mandya,459,292,3,Karnataka
15,138,138,0,4,138,0,Maddur (TMC),102,Mandya,312,56,32,Karnataka
0,967,960,0,3,1,0,Malavalli (TMC),967,Mandya,977,880,6,Karnataka
15,585,585,1,0,170,0,Mandya (CMC),565,Mandya,756,128,0,Karnataka
27,99,97,0,19,0,0,Nagamangala (TP),98,Mandya,227,80,109,Karnataka
5,330,330,0,18,271,0,Pandavapura (TMC),215,Mandya,624,292,5,Karnataka
23,714,708,1,5,81,0,Shrirangapattana (TMC),605,Mandya,909,636,108,Karnataka
21,1225,1225,0,0,0,0,Bannur (TMC),1009,Mysore,1234,1208,9,Karnataka
92,434,427,0,10,12,0,Heggadadevankote (TP),268,Mysore,460,419,4,Karnataka
46,928,927,0,1,0,0,Hunsur (TMC),857,Mysore,962,913,33,Karnataka
0,1220,1220,0,0,73,0,Krishnarajanagara (TMC),1220,Mysore,1295,1172,2,Karnataka
0,399,399,0,0,119,0,Mysore (M Corp.),400,Mysore,536,392,18,Karnataka
632,1719,1719,0,0,0,0,Nanjangud (TMC),913,Mysore,2112,1689,393,Karnataka
97,499,499,0,1,1,0,Piriyapatna (TP),340,Mysore,598,429,97,Karnataka
67,461,455,0,13,2,0,Saragur (TP),147,Mysore,476,452,0,Karnataka
79,615,614,1,0,112,0,Tirumakudal Narsipur (TP),331,Mysore,744,608,16,Karnataka
1,81,73,0,16,0,0,Balaganur (TP),51,Raichur,109,69,12,Karnataka
307,2776,2776,1,79,0,0,Devadurga (TMC),524,Raichur,2879,1462,23,Karnataka
0,0,0,0,0,0,0,Hatti Gold Mines(NAC),0,Raichur,0,0,0,Karnataka
46,566,565,1,3,0,0,Kavitala (TP),185,Raichur,597,565,27,Karnataka
207,1309,1309,0,0,0,0,Lingsugur (TMC),525,Raichur,1399,837,90,Karnataka
1283,1870,1865,2,119,0,0,Manvi (TMC),692,Raichur,2940,1413,949,Karnataka
118,733,702,0,1,0,0,Maski (TMC),315,Raichur,735,696,1,Karnataka
62,1661,1661,0,24,0,0,Mudgal (TP),758,Raichur,1688,1320,3,Karnataka
85,13950,13793,8,1220,2,0,Raichur (CMC),2277,Raichur,18332,1546,3152,Karnataka
213,1799,1799,0,0,0,0,Sindhnur (CMC),1112,Raichur,1813,1772,14,Karnataka
3,179,179,0,0,0,0,Siravara,82,Raichur,180,179,1,Karnataka
93,437,185,0,7,0,0,Turuvihaala (TP),99,Raichur,445,185,1,Karnataka
38,249,249,0,0,0,0,Bidadi (TMC),78,Ramanagara,251,243,2,Karnataka
61,1230,1230,0,0,0,0,Channapatna (CMC),1102,Ramanagara,1260,1125,30,Karnataka
12,1367,1367,0,1,31,0,Kanakapura (TMC),1354,Ramanagara,1577,81,178,Karnataka
2,735,735,0,1,1,0,Magadi (TMC),601,Ramanagara,763,701,26,Karnataka
29,867,867,0,0,311,0,Ramanagara (CMC),838,Ramanagara,1201,786,23,Karnataka
413,1715,1667,0,13,104,0,Bhadravati (CMC),961,Shimoga,2842,1341,1010,Karnataka
0,67,67,0,0,0,0,Hosanagara (TP),50,Shimoga,80,59,13,Karnataka
0,636,636,0,0,0,0,Jog Kargal (TP),532,Shimoga,640,473,4,Karnataka
1,470,470,0,3,0,0,Sagar (CMC),438,Shimoga,489,68,16,Karnataka
23,1072,1072,1,0,0,0,Shikarpur (TMC),756,Shimoga,1128,1032,55,Karnataka
106,2043,2014,0,23,3,0,Shimoga (CMC),831,Shimoga,2985,1572,916,Karnataka
69,578,578,0,0,0,0,Siralkoppa (TP),464,Shimoga,591,385,13,Karnataka
0,466,466,0,0,0,0,Soraba (TP),440,Shimoga,523,401,57,Karnataka
1,86,84,0,1,0,0,Tirthahalli (TP),81,Shimoga,90,59,3,Karnataka
32,744,744,0,0,178,0,Chiknayakanhalli (TMC),545,Tumkur,936,723,14,Karnataka
59,682,682,0,3,199,0,Gubbi (TP),356,Tumkur,894,591,10,Karnataka
62,386,386,0,1,97,0,Koratagere (TP),227,Tumkur,492,374,8,Karnataka
4,1430,1430,0,0,0,0,Kunigal (TMC),1107,Tumkur,1467,1374,37,Karnataka
45,821,821,0,0,216,0,Madhugiri (TMC),657,Tumkur,1070,749,33,Karnataka
92,1302,1302,0,2,209,0,Pavagada (TMC),504,Tumkur,1590,1129,77,Karnataka
49,1707,1693,0,7,941,0,Sira (CMC),1560,Tumkur,2861,1593,206,Karnataka
0,724,724,0,0,474,0,Tiptur (CMC),725,Tumkur,1443,622,245,Karnataka
79,1693,1693,0,114,466,0,Tumkur (CMC),1678,Tumkur,3781,573,1508,Karnataka
27,219,219,0,0,190,0,Turuvekere (TP),142,Tumkur,420,194,11,Karnataka
0,0,0,0,0,0,0,Kaapu (TMC),0,Udupi,0,0,0,Karnataka
25,166,166,0,8,20,0,Karkala (TMC),146,Udupi,203,164,9,Karnataka
0,67,67,0,15,0,0,Kundapura (TMC),52,Udupi,82,60,0,Karnataka
13,55,55,0,0,5,0,Saligram (TP),42,Udupi,60,51,0,Karnataka
24,146,141,0,6,28,0,Udupi (CMC),118,Udupi,194,71,14,Karnataka
23,362,342,0,0,19,0,Ankola (TP),307,Uttara Kannada,385,335,4,Karnataka
0,142,142,0,0,5,0,Bhatkal (TMC),142,Uttara Kannada,181,77,34,Karnataka
269,1704,1620,0,2,0,0,Dandeli (CMC),430,Uttara Kannada,1785,1468,79,Karnataka
75,646,618,0,0,1,0,Haliyal (TP),460,Uttara Kannada,648,513,1,Karnataka
15,377,377,0,1,34,0,Honavar (TP),150,Uttara Kannada,421,335,9,Karnataka
123,138,138,0,0,0,0,Jaali (TP),8,Uttara Kannada,287,137,149,Karnataka
168,1157,1157,0,1,83,0,Karwar (CMC),900,Uttara Kannada,1271,1147,30,Karnataka
167,795,720,0,16,0,0,Kumta (TMC),364,Uttara Kannada,885,446,74,Karnataka
22,846,839,0,4,0,0,Mundgod (TP),748,Uttara Kannada,900,795,50,Karnataka
100,516,507,0,56,58,0,Siddapur (TP),359,Uttara Kannada,630,413,0,Karnataka
0,950,950,0,0,45,0,Sirsi (CMC),951,Uttara Kannada,1020,804,25,Karnataka
31,545,545,0,0,5,0,Yellapur (TP),381,Uttara Kannada,606,286,56,Karnataka
0,4,1,0,0,0,0,Aluva (M),1,Ernakulam,4,0,0,Kerala
0,0,0,0,119,0,0,Angamaly (M),94,Ernakulam,119,0,0,Kerala
0,25,25,0,2,0,0,Eloor,28,Ernakulam,64,23,37,Kerala
0,7,7,0,16,0,0,Kalamassery (M),0,Ernakulam,23,7,0,Kerala
131,1966,1951,2,1962,0,0,Kochi (M Corp.),1444,Ernakulam,4070,1837,140,Kerala
0,38,38,0,0,0,0,Koothattukulam,38,Ernakulam,41,37,3,Kerala
0,117,107,0,42,0,0,Kothamangalam (M),0,Ernakulam,161,99,2,Kerala
0,0,0,0,159,1,0,Maradu(M),0,Ernakulam,160,0,0,Kerala
1,0,0,0,13,0,0,Muvattupuzha (M),10,Ernakulam,13,0,0,Kerala
0,225,173,0,23,0,0,Paravur (M),170,Ernakulam,428,47,180,Kerala
28,102,100,0,4,0,0,Perumbavoor (M),35,Ernakulam,135,99,29,Kerala
0,170,164,0,0,0,0,Piravom,1,Ernakulam,173,155,3,Kerala
0,0,0,0,581,0,0,Thrikkakara(M),0,Ernakulam,581,0,0,Kerala
0,3,2,0,179,0,0,Thrippunithura (M),2,Ernakulam,182,2,0,Kerala
0,177,177,0,1,0,0,Kattappana,40,Idukki,178,156,0,Kerala
0,264,264,0,20,96,0,Thodupuzha (M),259,Idukki,382,259,2,Kerala
0,110,110,0,3,7,0,Anthoor,102,Kannur,120,103,0,Kerala
0,171,171,0,0,4,0,Iritty,0,Kannur,177,164,2,Kerala
1,98,98,0,104,0,0,Kannur (M),16,Kannur,248,93,46,Kerala
0,0,0,0,0,0,0,Kannur Cantonment (CB),0,Kannur,0,0,0,Kerala
1,47,47,0,0,1,0,Koothuparamba (M),46,Kannur,48,47,0,Kerala
1,39,29,0,23,0,0,Mattannur (M),45,Kannur,63,29,1,Kerala
0,82,81,0,3,0,1,Panoor,19,Kannur,85,81,0,Kerala
0,103,103,0,0,0,0,Payyannur (M),80,Kannur,113,101,10,Kerala
0,198,197,0,8,0,0,Sreekandapuram,40,Kannur,212,0,6,Kerala
0,32,32,0,1,1,0,Taliparamba (M),0,Kannur,35,20,1,Kerala
0,176,96,0,119,0,0,Thalassery (M),2,Kannur,298,92,3,Kerala
6,273,266,0,0,17,0,Kanhangad (M),253,Kasaragod,300,256,10,Kerala
6,209,29,0,58,0,0,Kasaragod (M),159,Kasaragod,267,29,0,Kerala
46,282,278,0,0,4,0,Neeleswaram,184,Kasaragod,294,270,8,Kerala
2,541,529,0,278,0,23,Karunagapally,113,Kollam,820,502,1,Kerala
60,1176,1107,0,50,0,0,Kollam (M Corp.),1433,Kollam,3416,798,2190,Kerala
0,269,260,0,6,2,0,Kottarakkara,210,Kollam,278,258,1,Kerala
0,545,537,0,23,1,0,Paravoor (M),513,Kollam,639,236,70,Kerala
364,871,858,0,0,38,0,Punalur (M),234,Kollam,995,717,86,Kerala
1,209,167,0,336,0,61,Changanassery (M),143,Kottayam,545,133,0,Kerala
1,5,0,1,168,0,1,Erattupetta,120,Kottayam,174,0,0,Kerala
0,313,313,1,71,4,1,Ettumanoor,313,Kottayam,390,229,1,Kerala
2,348,347,0,867,2,1,Kottayam (M),314,Kottayam,1233,293,16,Kerala
0,74,74,0,0,0,72,Palai (M),69,Kottayam,74,70,0,Kerala
57,427,426,0,285,2,46,Vaikom (M),265,Kottayam,817,395,103,Kerala
0,82,0,0,0,0,0,Feroke,0,Kozhikode,82,0,0,Kerala
1,93,93,0,42,2,0,Koduvally,50,Kozhikode,139,91,2,Kerala
17,1512,1504,0,2,0,0,Kozhikode (M Corp.),1219,Kozhikode,1527,1476,13,Kerala
12,196,192,0,15,3,0,Mukkam,167,Kozhikode,222,179,8,Kerala
0,0,0,0,242,0,0,Payyoli,0,Kozhikode,242,0,0,Kerala
4,431,401,0,7,2,26,Quilandy (M),120,Kozhikode,449,375,9,Kerala
0,100,100,0,2,0,0,Ramanattukara,5,Kozhikode,102,96,0,Kerala
31,228,228,0,117,0,0,Vadakara (M),98,Kozhikode,345,198,0,Kerala
0,215,206,0,402,0,0,Kondotty,204,Malappuram,620,167,3,Kerala
0,0,0,0,0,0,0,Kottakkal,0,Malappuram,0,0,0,Kerala
10,186,174,3,1,0,5,Malappuram (M),177,Malappuram,244,158,54,Kerala
2,170,168,1,48,0,0,Manjeri (M),139,Malappuram,306,166,87,Kerala
0,193,189,0,85,0,0,Nilambur,260,Malappuram,486,185,208,Kerala
1,31,12,0,0,0,0,Parappananangadi,3,Malappuram,50,12,19,Kerala
0,98,94,0,2,0,0,Perinthalmanna (M),93,Malappuram,197,86,97,Kerala
1,701,551,2,380,0,0,Ponnani (M),409,Malappuram,1087,388,4,Kerala
0,446,446,0,107,2,0,Tanur,412,Malappuram,556,426,1,Kerala
1,55,51,0,32,3,0,Tirur (M),46,Malappuram,102,43,12,Kerala
0,19,19,0,0,0,0,Tirurangadi,14,Malappuram,57,16,38,Kerala
6,45,45,0,2,1,0,Valancherry,31,Malappuram,137,43,89,Kerala
0,35,0,0,52,0,0,Cherpulassery,0,Palakkad,87,0,0,Kerala
3,181,149,1,58,0,1,Chittur-Thathamangalam (M),113,Palakkad,404,82,164,Kerala
2,108,108,0,0,0,0,Mannarkkad,1,Palakkad,138,97,30,Kerala
3,77,71,0,157,5,0,Ottappalam (M),58,Palakkad,372,62,133,Kerala
8,727,502,1,392,22,28,Palakkad (M),328,Palakkad,1388,482,246,Kerala
0,43,41,0,8,3,0,Pattambi,0,Palakkad,284,35,230,Kerala
2,76,76,0,11,1,1,Shoranur (M),70,Palakkad,171,70,83,Kerala
0,291,285,0,11,0,0,Adoor (M),267,Pathanamthitta,308,258,6,Kerala
0,0,0,0,489,0,0,Pandalam,0,Pathanamthitta,489,0,0,Kerala
7,339,316,0,58,1,0,Pathanamthitta (M),260,Pathanamthitta,399,239,1,Kerala
0,412,406,0,6,0,0,Thiruvalla (M),35,Pathanamthitta,432,392,14,Kerala
0,132,130,0,3,19,0,Attingal (M),119,Thiruvananthapuram,189,120,35,Kerala
0,902,885,0,5,138,0,Nedumangad (M),679,Thiruvananthapuram,1068,844,23,Kerala
0,541,541,0,0,5,3,Neyyattinkara (M),454,Thiruvananthapuram,553,538,7,Kerala
3,4004,3900,14,108,26,69,Thiruvananthapuram (M Corp.),3722,Thiruvananthapuram,4298,3350,146,Kerala
0,527,486,2,0,18,0,Varkala (M),486,Thiruvananthapuram,716,209,169,Kerala
0,445,368,0,52,0,0,Alirajpur (M),266,Alirajpur,854,58,357,Madhya Pradesh
3,535,535,0,0,0,0,Bhavra (NP),502,Alirajpur,1099,418,564,Madhya Pradesh
0,0,0,0,383,0,0,Chandrasekhar Azad Nagar,0,Alirajpur,383,0,0,Madhya Pradesh
0,146,146,0,3,0,0,Jobat (NP),137,Alirajpur,249,96,100,Madhya Pradesh
0,531,170,1,6,0,0,Amarkantak (NP),161,Anuppur,792,170,254,Madhya Pradesh
0,646,605,0,496,0,1,Anuppur (M),735,Anuppur,1791,328,649,Madhya Pradesh
2,1781,1773,0,1355,1,0,Bijuri (M),1598,Anuppur,3139,932,2,Madhya Pradesh
0,808,754,0,451,0,0,Jaithari (NP),752,Anuppur,1279,475,20,Madhya Pradesh
0,1379,840,1,1,4,0,Kotma (M),841,Anuppur,1550,736,165,Madhya Pradesh
0,971,856,0,0,0,0,Pasan (M),571,Anuppur,1002,779,31,Madhya Pradesh
1,2363,1095,0,2227,1,4,Ashoknagar (M),2422,Ashoknagar,5440,509,849,Madhya Pradesh
246,1775,1681,0,661,1,1,Chanderi (M),1153,Ashoknagar,4001,590,1564,Madhya Pradesh
1,1043,1043,1,294,1,1,Isagarh (NP),909,Ashoknagar,2163,723,824,Madhya Pradesh
11,966,957,1,93,4,3,Mungaoli (NP),710,Ashoknagar,1365,794,301,Madhya Pradesh
0,1631,1330,3,676,0,1,Shadhora,1330,Ashoknagar,2438,442,128,Madhya Pradesh
6,499,298,1,277,0,0,Baihar (NP),499,Balaghat,908,179,131,Madhya Pradesh
3,1263,1211,0,1288,0,0,Balaghat (M),1755,Balaghat,3278,650,727,Madhya Pradesh
11,527,467,0,57,1,0,Katangi (NP),466,Balaghat,2022,264,1437,Madhya Pradesh
1,1540,1540,0,1,0,0,Lanji (NP),653,Balaghat,2469,668,928,Madhya Pradesh
1,3941,3937,0,22,7,1,Malajkhand (M),1565,Balaghat,4851,3407,881,Madhya Pradesh
0,1111,1111,0,92,1,1,Waraseoni (M),903,Balaghat,1325,991,121,Madhya Pradesh
2,966,936,0,131,0,0,Anjad (NP),598,Barwani,1105,932,8,Madhya Pradesh
0,1428,1428,0,324,2,0,Barwani (M),1428,Barwani,2001,965,247,Madhya Pradesh
0,999,999,0,17,0,0,Khetia (NP),580,Barwani,2131,601,1115,Madhya Pradesh
0,601,601,0,798,0,0,Palsud (NP),423,Barwani,1644,378,245,Madhya Pradesh
0,651,643,0,3,0,0,Pansemal (NP),500,Barwani,1280,530,626,Madhya Pradesh
45,935,916,0,102,3,1,Rajpur (NP),736,Barwani,1281,626,241,Madhya Pradesh
0,1762,1762,0,0,0,1,Sendhwa (M),1003,Barwani,1843,144,81,Madhya Pradesh
0,526,440,0,12,0,1,Amla (M),443,Betul,863,430,325,Madhya Pradesh
14,916,903,0,251,0,0,Athner (NP),698,Betul,2179,133,1012,Madhya Pradesh
30,1872,1872,0,212,4,0,Betul (M),1860,Betul,3046,411,958,Madhya Pradesh
0,488,488,0,11,0,0,Betul-Bazar (NP),457,Betul,1376,205,877,Madhya Pradesh
0,880,536,1,106,0,0,Bhainsdehi (NP),536,Betul,1666,348,679,Madhya Pradesh
1,339,339,0,1,0,0,Chicholi (NP),328,Betul,700,301,360,Madhya Pradesh
0,558,558,0,1,1,1,Multai (M),558,Betul,875,194,315,Madhya Pradesh
0,4081,4081,2,1042,4,0,Sarni (M),4122,Betul,5236,3350,107,Madhya Pradesh
0,1118,1118,0,0,1,1,Akoda (NP),571,Bhind,1275,4,156,Madhya Pradesh
0,628,547,0,250,0,0,Alampur (NP),413,Bhind,1070,256,192,Madhya Pradesh
61,3250,3250,5,146,4,1,Bhind (M),2626,Bhind,4020,2889,615,Madhya Pradesh
1,911,910,0,502,0,0,Daboh (NP),578,Bhind,1615,49,202,Madhya Pradesh
0,2357,2349,2,10,0,3,Gohad (M),1080,Bhind,3526,1398,1157,Madhya Pradesh
0,483,482,0,213,0,0,Gormi (NP),466,Bhind,1040,141,344,Madhya Pradesh
0,973,916,0,74,0,0,Lahar (NP),842,Bhind,1342,173,295,Madhya Pradesh
0,814,814,0,4,134,0,Mau (NP),581,Bhind,1295,247,343,Madhya Pradesh
8,553,553,1,84,1,0,Mehgaon (NP),245,Bhind,733,0,94,Madhya Pradesh
0,803,803,0,3,0,0,Mihona (NP),319,Bhind,895,48,89,Madhya Pradesh
0,634,614,0,105,0,0,Phuphkalan (NP),502,Bhind,871,149,132,Madhya Pradesh
3,1792,1791,6,200,4,1,Berasia (M),1793,Bhopal,3029,772,1027,Madhya Pradesh
3,38976,38958,2,33,11654,5,Bhopal (M Corp.),38979,Bhopal,55826,25979,5161,Madhya Pradesh
0,0,0,0,687,0,0,Kolar (M),0,Bhopal,687,0,0,Madhya Pradesh
8,4941,4941,2,273,1,2,Burhanpur (M Corp.),4963,Burhanpur,5832,2967,615,Madhya Pradesh
